width	sample4p	sample4m	sample5p	sample5m	sample6p	sample6m	sample7p	sample7m	sample8p	sample8m	sample9p	sample9m	sample10p	sample10m	sample11p	sample11m	sample12p	sample12m	sample13p	sample13m	sample14p	sample14m	sample15p	sample15m
WBGene00044008	2010	1633	1556	1652	1694	1733	923	1743	1638	1935	1567	1933	1566	2151	1727	2081	1848	1793	2477	1466	1491	1704	1462	1645	1428
WBGene00202238	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016668	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199996	148	1	1	2	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1
WBGene00200790	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201607	70	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3
WBGene00016669	489	3	3	5	1	4	2	4	5	5	0	9	1	8	5	3	6	13	40	2	5	40	7	43	4
WBGene00016670	476	10	8	7	7	5	3	3	4	8	4	6	10	13	7	7	6	12	40	7	11	58	8	128	22
WBGene00016671	1882	227	251	251	294	347	165	362	317	342	244	310	207	249	142	188	142	160	193	117	112	143	92	147	77
WBGene00000402	6966	10634	10330	6717	6964	4596	2053	3051	2392	2476	1826	1910	1234	1793	1091	1694	937	1576	2276	836	904	2060	1469	2308	2617
WBGene00197721	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199281	51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WBGene00016673	873	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0
WBGene00016681	2959	2	8	3	7	5	3	6	18	0	17	6	13	2	21	7	19	8	25	27	21	14	31	21	24
WBGene00016682	1065	53	41	47	44	57	18	50	44	60	41	38	54	48	42	68	48	47	55	42	59	33	54	54	53
WBGene00016683	282	9	14	14	7	2	0	3	1	2	0	1	1	1	3	4	6	3	6	20	78	4	103	11	130
WBGene00016684	582	363	324	334	308	343	210	394	349	367	338	399	336	486	352	448	399	378	519	373	370	377	329	363	269
WBGene00044409	534	12	2	2	2	2	2	6	6	10	2	7	6	7	6	8	4	7	20	7	9	4	1	5	3
WBGene00050919	1234	4	7	11	7	11	6	7	8	9	9	5	1	4	8	6	4	7	9	6	7	6	6	1	2
WBGene00167007	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016674	1052	424	379	426	473	469	249	422	406	534	456	429	376	502	468	469	484	523	650	450	454	390	455	402	375
WBGene00016675	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016676	1219	1612	1424	1430	1425	1616	879	1813	1570	1918	1691	1877	1742	2069	1999	2203	2271	2145	2774	1962	1920	1878	1769	1853	1685
WBGene00016677	1872	508	544	527	674	628	422	701	991	731	873	780	891	843	714	951	778	1192	2648	935	1527	2772	1826	3550	1956
WBGene00016678	494	93	95	96	91	128	64	160	138	150	131	232	171	251	201	289	256	289	404	245	229	270	185	280	129
WBGene00016679	292	25	22	14	19	15	13	22	25	19	27	16	16	31	15	20	34	50	38	21	33	37	28	35	20
WBGene00016680	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016685	840	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00016692	915	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
WBGene00016693	889	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	2	2	0
WBGene00006117	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016694	1256	0	7	0	5	0	1	1	5	0	9	1	7	2	4	1	3	0	1	1	0	0	0	1	0
WBGene00016695	669	1	1	1	0	1	3	1	0	1	0	1	1	1	2	1	2	2	7	1	0	2	0	0	0
WBGene00006281	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016696	906	1	4	5	7	3	3	1	4	11	4	1	4	9	5	6	8	1	4	1	4	4	7	2	4
WBGene00016697	1488	2	5	12	11	5	1	9	4	15	10	6	7	14	3	13	7	8	12	8	8	15	5	18	7
WBGene00044087	945	2	2	4	0	0	0	1	2	1	0	1	0	0	0	1	0	0	1	2	1	0	0	1	1
WBGene00166784	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016686	1494	0	0	0	0	0	1	2	1	2	0	2	0	7	4	1	0	5	2	0	1	3	0	2	0
WBGene00172926	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016687	840	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
WBGene00016688	870	0	4	1	3	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	4	0	0
WBGene00016689	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016690	888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016691	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00016698	1633	12	11	7	8	9	5	13	10	17	5	23	7	16	6	14	13	6	24	9	10	12	21	16	17
WBGene00077726	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170454	21	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173810	21	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00196576	148	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00198161	126	0	0	0	0	0	1	0	1	0	0	1	10	0	0	0	0	0	0	2	1	0	1	0	1
WBGene00016699	1522	29	23	33	24	34	14	36	19	38	20	37	24	25	12	31	23	9	22	11	5	6	1	5	1
WBGene00000603	1073	928	1077	1628	2984	2942	3076	4322	10574	5805	16120	7668	25900	8860	28440	9496	33965	8682	11675	27085	20832	7727	11149	8655	6067
WBGene00016700	4693	72	54	75	112	124	91	181	202	208	285	229	328	277	330	257	308	220	235	199	153	162	114	224	40
WBGene00016701	1306	112	93	127	120	125	77	122	130	139	113	140	115	172	140	180	161	157	221	136	129	132	161	148	175
WBGene00016702	1081	566	450	547	524	515	283	553	508	602	500	619	599	654	647	760	775	743	1043	615	747	758	714	815	761
WBGene00016703	588	42	35	42	38	38	12	35	38	40	40	54	52	31	29	41	46	50	51	44	40	55	61	56	56
WBGene00001827	2800	4177	3936	4074	4292	4344	2201	4352	3963	4567	3874	4419	3961	4561	4260	4803	4254	4402	5600	3756	3864	3967	3973	3964	3589
WBGene00016704	3209	1682	1652	1623	1824	1695	944	1497	1640	1629	1704	1517	1504	1626	1345	1650	1333	1522	1883	1080	942	1208	942	1132	888
WBGene00016705	1539	916	911	893	917	849	470	909	760	810	719	713	741	755	670	723	600	563	699	519	530	496	518	485	542
WBGene00016706	969	526	545	533	524	431	294	468	480	463	425	558	484	507	533	497	490	432	548	431	455	417	412	423	425
WBGene00044567	1271	6	7	9	8	5	0	9	6	6	8	4	2	18	9	11	4	13	11	6	9	5	5	4	7
WBGene00196457	142	0	0	0	0	1	0	0	0	0	0	0	1	3	2	1	0	2	0	0	2	0	0	1	0
WBGene00175024	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00202232	298	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1	0	3	0
WBGene00202273	298	9	9	6	9	11	6	11	7	20	6	15	11	18	9	4	8	20	8	9	15	14	12	9	12
WBGene00006941	6484	5692	5031	5496	5230	5867	3002	5537	4947	6482	5962	6342	6206	6882	6382	7335	7303	7574	9005	6456	6693	7830	6804	8095	6282
WBGene00008110	1910	5737	5418	5493	5353	5216	2799	5091	5022	5214	4735	5160	4794	5038	4997	5213	5469	5187	6899	5340	6233	5097	6591	4848	6525
WBGene00008111	1047	18	25	19	28	25	18	19	31	28	27	34	19	11	12	30	20	21	40	20	23	17	15	26	27
WBGene00008113	715	0	0	0	0	0	0	0	2	0	0	3	1	3	0	0	1	1	0	1	1	0	1	1	1
WBGene00008114	771	59	51	60	61	41	27	46	44	34	24	15	21	4	8	9	14	16	11	13	11	14	9	14	11
WBGene00045078	461	339	271	297	309	285	127	312	269	282	236	290	235	292	240	244	243	207	299	195	225	196	210	167	192
WBGene00045121	73	5	2	2	6	3	3	2	2	1	2	1	1	5	4	3	5	4	7	7	1	10	3	8	4
WBGene00174457	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016707	939	3	0	0	7	3	1	2	0	1	1	0	1	5	1	2	3	2	0	1	3	1	1	2	2
WBGene00005319	1044	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1
WBGene00016708	372	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0
WBGene00016709	1179	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016710	1509	418	388	396	413	419	232	408	393	487	465	474	532	563	559	593	572	562	819	494	608	596	512	529	485
WBGene00016711	1368	50	32	47	44	47	27	47	31	38	34	38	37	33	39	34	32	24	42	43	32	31	39	30	26
WBGene00006001	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
WBGene00005318	1044	0	0	1	1	1	0	2	2	0	3	0	0	4	1	2	1	2	0	3	2	2	1	1	0
WBGene00016712	1164	0	1	0	1	2	0	0	0	0	2	3	1	0	0	1	1	0	1	3	0	0	1	0	0
WBGene00016713	1747	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001556	2336	130	138	157	128	136	74	158	132	164	133	182	157	170	155	184	185	141	221	106	137	114	103	108	75
WBGene00008116	2292	259	242	252	270	224	134	241	168	240	218	228	234	241	271	234	247	250	313	201	206	242	221	243	178
WBGene00006822	2165	526	482	480	565	633	339	741	673	764	661	744	652	834	711	801	681	686	902	530	448	569	334	506	294
WBGene00008117	1929	12501	11017	12530	12462	13391	6356	13433	12056	14015	11781	14134	12329	14312	12513	13920	14008	13525	18032	12261	12619	12392	10609	12086	9294
WBGene00008118	1098	383	322	337	345	349	185	376	335	370	256	368	266	332	321	309	326	322	441	270	267	290	275	260	250
WBGene00008119	2731	1674	1529	1673	1640	1726	949	1666	1658	1871	1633	1798	1651	1975	1887	2056	1914	1958	2874	1702	1872	1989	1766	2135	1553
WBGene00008120	1786	1256	1075	1245	1228	1274	744	1346	1218	1334	1145	1503	1238	1453	1332	1515	1366	1446	1959	1282	1381	1410	1393	1400	1253
WBGene00008121	1102	435	472	425	412	393	216	359	343	303	315	362	381	357	410	380	339	303	450	386	375	341	412	394	338
WBGene00195321	102	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00201171	102	2	6	1	0	2	3	4	3	4	3	7	0	4	11	4	6	3	5	2	5	1	6	4	3
WBGene00016714	1264	384	354	379	287	310	172	287	223	264	204	245	195	172	204	219	179	127	160	144	178	119	287	163	398
WBGene00001175	1455	44	39	28	33	33	12	39	46	39	39	53	51	46	34	50	35	30	43	31	31	42	35	38	29
WBGene00016716	2708	3346	2792	3181	3085	3236	1689	3111	3191	3316	3441	3531	4228	3600	4857	3941	5275	3663	5163	4330	4404	3796	3997	4223	3399
WBGene00044571	459	111	109	112	133	102	63	75	72	56	54	25	29	14	19	14	14	6	4	8	8	4	3	2	1
WBGene00200309	93	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	3	2	0	0	0	1	0	0	0
WBGene00016717	1832	459	408	551	530	621	401	793	759	897	767	864	788	970	865	944	806	896	1113	625	693	664	569	565	461
WBGene00016718	1323	2	0	1	3	0	1	1	4	3	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0
WBGene00016719	1331	138	160	161	187	199	139	245	264	318	311	365	308	379	378	498	390	464	749	332	399	400	336	428	256
WBGene00016720	1673	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WBGene00045986	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0
WBGene00173816	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
WBGene00174379	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174406	21	0	2	0	0	0	0	2	1	1	0	0	0	1	1	2	0	0	0	0	0	0	1	1	1
WBGene00174558	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174691	21	1	3	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	2	0	0	1	0
WBGene00174776	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174946	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00197959	73	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00198980	219	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	1	0	0	1	0	0
WBGene00200633	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046061	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016721	418	1617	1522	1454	1501	1429	795	1404	1314	1281	1219	1331	1253	1428	1655	1488	1800	1550	2276	1793	1958	1710	1834	1791	1685
WBGene00201109	150	0	0	2	1	0	1	1	0	1	0	1	0	2	2	1	1	1	3	0	2	1	1	1	1
WBGene00046475	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046559	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00046654	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047004	21	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	1	0
WBGene00047191	21	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0
WBGene00047377	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047501	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047509	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00016722	1741	4891	4598	4664	4716	4776	2724	4951	4885	5156	4804	5546	5181	5989	5958	6219	6650	6319	9214	6380	7185	6923	6747	7223	6025
WBGene00047564	21	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0
WBGene00047585	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047689	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047757	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047888	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048109	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
WBGene00048633	21	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0
WBGene00048712	21	10	1	1	2	1	0	1	0	4	0	1	1	2	0	3	0	2	3	7	3	3	0	1	1
WBGene00048738	21	0	0	3	1	0	0	1	0	3	1	0	0	1	3	1	0	0	0	0	1	0	2	1	1
WBGene00049009	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016723	2148	22	14	18	12	12	2	9	16	17	11	21	20	24	13	24	12	21	25	18	9	27	11	18	16
WBGene00049078	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00049259	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049551	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049915	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00050457	21	2	1	3	0	1	1	1	0	0	0	6	0	3	3	0	1	0	1	3	0	0	0	1	1
WBGene00050830	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00165089	21	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0
WBGene00165528	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165602	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
WBGene00165818	21	0	2	0	0	0	0	2	1	1	0	0	0	1	2	2	0	0	0	0	0	0	1	1	1
WBGene00165966	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166003	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166051	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00166117	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166134	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166181	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166216	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166262	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00166569	21	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0
WBGene00166628	21	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00004112	3803	6707	6148	6671	7208	7330	4062	7501	7245	8892	8061	9551	8910	10297	9824	10839	10848	11202	14552	9953	9713	10719	9641	10406	8582
WBGene00044502	588	30	39	29	32	24	12	28	39	44	33	27	24	35	36	43	43	43	56	46	32	46	41	47	41
WBGene00166673	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166773	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166924	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167096	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167481	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167620	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167727	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167918	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167938	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168062	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WBGene00045588	21	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168166	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168531	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168708	21	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
WBGene00168797	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
WBGene00168896	21	1	1	0	0	0	1	1	0	0	0	2	0	0	0	2	0	2	1	2	0	3	1	0	1
WBGene00168959	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168969	21	69	78	63	89	89	46	91	72	105	91	119	93	141	133	132	142	133	191	122	113	125	140	144	115
WBGene00169041	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169156	21	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0
WBGene00169230	21	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	3	1	0
WBGene00045655	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169281	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169471	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169590	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00169751	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169867	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169956	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169968	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169997	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170005	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170368	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045761	21	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00170645	21	2	1	3	0	1	0	1	0	0	0	4	0	2	3	0	1	0	1	2	0	0	0	1	1
WBGene00170713	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
WBGene00170825	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170934	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171012	21	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0
WBGene00171080	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171236	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171548	21	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0
WBGene00171605	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00171806	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045910	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171910	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171995	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172142	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172190	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172439	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172695	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172709	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172882	21	1	3	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	2	0	0	1	0
WBGene00172910	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00173018	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016727	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00016734	1235	236	248	281	240	250	137	268	241	263	219	275	234	299	274	324	329	291	373	260	281	253	278	269	253
WBGene00016735	4411	2968	2870	3229	3507	3700	2355	3876	4917	4522	5902	4840	6839	5098	6791	5205	6877	5327	6762	5503	5016	4613	4394	4111	3311
WBGene00198245	144	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0
WBGene00016728	1359	472	485	379	384	311	189	290	330	289	497	308	775	467	1215	555	1511	711	1364	1499	1568	1159	1481	1557	1352
WBGene00016729	441	8	4	7	8	5	3	8	12	13	17	16	20	25	20	16	23	17	18	14	15	18	15	30	13
WBGene00002979	2782	2222	2145	2249	2488	2333	1461	2337	2279	2706	2418	2583	2657	2772	2600	2758	2851	2693	3805	2931	3146	2917	3017	3639	2463
WBGene00016730	1029	4	10	5	7	8	6	7	5	7	9	3	7	2	11	8	13	11	8	7	17	6	5	8	8
WBGene00016731	850	540	521	821	903	1203	629	1379	1253	1501	1351	1704	1251	1385	950	1083	794	669	611	369	149	229	97	127	45
WBGene00016732	979	760	769	1091	1239	1582	867	1749	1542	2059	1941	2457	2111	2318	1998	2092	1645	1555	1420	991	477	601	287	274	129
WBGene00016733	860	2485	2480	3056	3481	3991	2231	4776	4387	5205	4843	6503	5663	6330	5862	6296	6085	5768	6808	4552	3794	3904	2582	2830	1588
WBGene00016724	810	32	30	23	21	30	13	21	11	27	22	17	14	18	18	15	5	11	14	7	6	8	5	18	6
WBGene00016725	2351	429	353	478	505	643	403	664	702	836	780	849	924	891	935	813	910	709	931	844	710	644	578	634	433
WBGene00016726	803	93	70	119	79	143	74	171	109	215	81	199	73	190	58	140	41	132	144	28	24	116	34	95	59
WBGene00004003	3986	2038	2011	2015	2150	2343	1093	2453	2150	2877	2612	2923	3959	3677	7132	5263	13436	8117	15862	19883	25509	13149	23286	12514	18128
WBGene00005493	978	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
